Plotcode,Brorub,Brotec,Erocic,Schbar,Cover,Species
SNP174,0.00,10.72,0.00,0.05,10.77,2
SNP175,8.62,0.00,4.07,0.00,12.69,2
SNP177,0.00,12.41,0.00,0.00,12.41,1
SNP179,0.00,1.70,0.94,0.00,2.64,2
SNP180,0.00,26.05,0.00,0.00,26.05,1
SNP181,0.00,50.93,0.00,0.00,50.93,1
SNP201,0.11,37.27,1.47,0.00,38.85,3
SNP202,0.06,0.00,3.18,0.48,3.72,3
SNP203,0.00,11.27,0.00,0.00,11.27,1
SNP204,0.41,0.00,9.59,0.67,10.67,3
SNP205,0.49,0.00,12.18,4.79,17.46,3
SNP206,0.09,8.78,0.00,0.00,8.87,2
SNP207,4.09,0.00,50.00,0.04,54.13,3
SNP208,1.19,0.00,1.60,0.00,2.79,2
SNP209,2.89,0.00,0.73,0.00,3.62,2
SNP210,1.13,0.00,0.51,0.00,1.64,2
SNP211,0.16,41.93,0.00,0.00,42.09,2
SNP213,4.52,0.05,26.69,0.27,31.53,4
SNP214,1.81,0.00,4.03,0.00,5.84,2
SNP216,0.37,0.00,4.57,0.00,4.94,2
SNP217,0.79,0.00,20.73,0.00,21.52,2
SNP218,0.48,0.78,0.31,0.00,1.57,3
SNP219,10.67,0.00,7.45,0.00,18.12,2
SNP221,0.29,0.00,3.69,0.00,3.98,2
SNP222,1.76,0.00,1.84,0.00,3.60,2
SNP224,0.86,1.53,3.70,0.00,6.09,3
SNP225,0.53,0.00,16.27,0.00,16.80,2
SNP226,3.71,0.00,17.27,1.21,22.19,3
SNP227,0.00,6.43,22.93,0.02,29.38,3
SNP228,0.57,0.00,3.01,0.08,3.66,3
SNP230,0.00,44.47,0.07,0.01,44.55,3
SNP231,2.05,0.22,2.76,0.00,5.03,3
SNP232,4.94,0.00,9.40,0.00,14.34,2
SNP235,0.22,19.53,0.00,0.00,19.75,2
SNP236,13.33,0.00,12.07,0.00,25.40,2
SNP237,0.00,1.95,1.63,0.13,3.71,3
SNP238,0.56,0.00,30.40,0.52,31.48,3
SNP239,0.36,0.00,37.47,0.00,37.83,2
SNP240,1.01,0.00,11.53,0.00,12.54,2
SNP241,5.87,0.00,7.25,0.24,13.36,3
SNP242,0.47,0.00,13.33,1.33,15.13,3
SNP243,0.47,0.00,0.87,1.91,3.25,3
SNP245,1.03,0.00,16.79,0.00,17.82,2
SNP246,0.01,0.33,1.58,0.00,1.92,3
SNP247,13.10,0.00,34.40,0.00,47.50,2
SNP248,0.00,7.47,0.02,0.00,7.49,2
SNP249,0.87,0.00,4.89,0.71,6.47,3
SNP250,0.00,15.87,8.09,0.00,23.96,2
SNP251,0.45,0.00,43.44,1.67,45.56,3
SNP252,0.47,0.00,2.30,2.39,5.16,3
SNP253,0.10,0.14,0.42,0.00,0.66,3
SNP254,2.81,0.00,7.11,0.00,9.92,2
SNP255,0.57,0.00,17.61,0.00,18.18,2
SNP256,0.27,4.14,0.00,0.00,4.41,2
SNP257,0.48,0.18,7.92,0.00,8.58,3
SNP258,3.36,0.00,8.95,0.95,13.26,3
SNP260,1.57,0.00,48.07,0.00,49.64,2
SNP261,0.48,0.00,16.60,0.00,17.08,2
SNP262,3.63,0.00,2.27,0.00,5.90,2
SNP263,1.22,0.08,0.13,0.26,1.69,4
SNP264,0.35,0.00,0.18,0.04,0.57,3
SNP265,0.00,27.40,0.00,0.00,27.40,1
SNP266,0.00,18.67,0.05,0.00,18.72,2
SNP267,0.39,0.00,0.00,0.00,0.39,1
SNP268,0.55,0.00,11.28,7.19,19.02,3
SNP269,16.22,0.00,4.73,0.00,20.95,2
SNP270,7.19,0.16,0.10,0.00,7.45,3
SNP271,28.20,0.58,2.83,0.00,31.61,3
SNP272,2.29,0.00,7.19,0.00,9.48,2
SNP273,1.67,0.00,42.67,0.00,44.34,2
SNP274,3.79,0.00,2.01,0.00,5.80,2
SNP275,1.07,0.00,0.87,0.26,2.20,3
SNP276,0.00,14.87,0.00,0.00,14.87,1
SNP277,0.00,4.13,15.87,0.00,20.00,2
SNP278,1.68,0.00,14.63,0.00,16.31,2
SNP279,0.00,0.27,5.77,0.00,6.04,2
SNP280,0.00,9.44,0.09,0.00,9.53,2
SNP281,0.31,5.48,0.07,0.00,5.86,3
SNP282,0.97,60.33,0.00,0.00,61.30,2
SNP302,0.00,1.25,0.00,0.00,1.25,1
SNP303,0.05,1.49,11.33,0.00,12.87,3
SNP304,0.09,1.10,3.78,0.00,4.97,3
SNP305,0.00,10.29,0.00,0.00,10.29,1
SNP306,0.29,1.41,6.63,0.00,8.33,3
SNP307,0.48,0.00,0.00,0.00,0.48,1
SNP308,0.51,0.46,46.20,0.00,47.17,3
SNP309,1.23,0.00,9.53,0.00,10.76,2
SNP311,0.60,2.95,0.00,0.00,3.55,2
SNP313,0.05,1.31,10.67,0.00,12.03,3
SNP314,0.45,0.26,0.57,0.00,1.28,3
SNP315,0.65,0.00,1.13,0.00,1.78,2
SNP316,0.00,10.47,10.47,0.00,20.94,2
SNP317,0.37,0.06,5.53,0.00,5.96,3
SNP318,0.00,0.55,70.47,0.00,71.02,2
SNP320,0.09,2.02,39.53,0.00,41.64,3
SNP321,2.12,0.31,3.75,0.00,6.18,3
SNP322,0.00,31.07,0.00,0.00,31.07,1
SNP323,4.74,7.19,28.57,0.00,40.50,3
SNP325,0.00,10.59,0.00,0.00,10.59,1
SNP327,0.00,8.47,0.00,0.00,8.47,1
SNP329,0.53,0.49,5.13,0.00,6.15,3
SNP330,2.30,0.00,13.82,0.00,16.12,2
SNP331,0.00,25.21,0.00,0.00,25.21,1
SNP334,1.20,0.70,4.26,0.00,6.16,3
SNP335,1.46,0.93,47.53,0.05,49.97,4
SNP336,0.00,0.89,0.00,0.00,0.89,1
SNP337,0.00,1.17,0.09,0.00,1.26,2
SNP339,7.07,0.00,13.95,0.00,21.02,2
SNP340,0.91,0.10,10.50,0.00,11.51,3
SNP342,0.47,1.09,35.67,0.00,37.23,3
SNP343,1.39,0.00,21.17,0.00,22.56,2
SNP345,0.38,0.33,25.73,0.00,26.44,3
SNP346,0.43,0.27,31.51,0.00,32.21,3
SNP348,1.01,0.00,1.70,0.03,2.74,3
SNP349,0.00,7.31,0.00,0.00,7.31,1
SNP350,0.32,0.20,10.37,0.00,10.89,3
SNP351,0.40,0.25,0.00,0.00,0.65,2
SNP353,0.00,0.07,0.00,0.00,0.07,1
SNP354,0.00,0.26,0.00,0.00,0.26,1
SNP356,3.58,0.00,17.57,0.01,21.16,3
SNP358,1.62,0.00,0.11,0.00,1.73,2
SNP359,0.00,11.87,0.00,0.00,11.87,1
SNP360,0.00,21.87,0.00,0.01,21.88,2
SNP361,0.38,0.00,3.59,0.00,3.97,2
SNP362,4.60,0.00,0.00,0.00,4.60,1
SNP363,0.00,18.73,0.00,0.00,18.73,1
SNP364,0.00,11.05,0.00,0.00,11.05,1
SNP365,0.20,0.78,7.53,0.00,8.51,3
SNP366,1.86,0.00,3.67,0.04,5.57,3
SNP368,0.00,0.95,0.00,0.00,0.95,1
SNP369,0.61,0.00,0.08,0.00,0.69,2
SNP370,6.01,0.00,0.00,0.00,6.01,1
SNP371,0.00,2.08,0.00,0.00,2.08,1
SNP372,1.79,0.00,5.26,0.00,7.05,2
SNP373,0.14,3.07,0.00,0.00,3.21,2
SNP376,0.18,0.51,9.73,0.00,10.42,3
SNP377,0.00,0.90,14.25,0.00,15.15,2
SNP379,0.00,6.39,31.74,0.00,38.13,2
SNP380,0.00,21.07,0.00,0.00,21.07,1
SNP401,23.40,0.79,9.27,0.00,33.46,3
SNP402,6.67,0.05,5.73,3.88,16.33,4
SNP403,11.43,0.19,0.11,0.03,11.76,4
SNP404,0.00,1.71,0.00,0.00,1.71,1
SNP405,0.00,0.67,0.00,0.00,0.67,1
SNP407,2.05,0.11,1.38,0.91,4.45,4
SNP408,0.40,0.00,3.52,2.35,6.27,3
SNP409,1.64,0.08,1.84,0.10,3.66,4
SNP410,0.68,0.27,12.47,0.00,13.42,3
SNP411,2.17,0.00,0.43,0.03,2.63,3
SNP412,0.68,0.08,0.05,0.00,0.81,3
SNP413,1.96,0.04,0.23,0.14,2.37,4
SNP414,6.97,0.23,2.50,0.03,9.73,4
SNP415,3.08,0.17,1.52,0.17,4.94,4
SNP416,16.74,0.00,2.38,3.53,22.65,3
SNP417,0.17,0.00,8.70,4.04,12.91,3
SNP418,0.36,0.00,6.78,19.93,27.07,3
SNP419,1.73,0.00,0.94,0.00,2.67,2
SNP420,4.77,0.37,0.36,0.00,5.50,3
SNP421,14.23,0.00,0.41,0.05,14.69,3
SNP425,0.05,0.72,0.00,0.32,1.09,3
SNP426,0.00,0.15,0.00,0.00,0.15,1
SNP427,0.00,0.50,0.00,0.00,0.50,1
SNP428,0.00,0.56,0.00,0.00,0.56,1
SNP430,0.00,0.19,0.12,0.00,0.31,2
SNP433,0.00,8.01,0.00,0.00,8.01,1
SNP434,12.55,0.07,6.68,6.23,25.53,4
SNP435,4.18,0.44,1.28,0.00,5.90,3
SNP436,0.44,0.00,0.39,0.33,1.16,3
SNP437,0.03,0.87,14.75,0.00,15.65,3
SNP443,0.00,1.63,0.00,0.00,1.63,1
SNP444,0.00,1.51,0.00,0.00,1.51,1
SNP445,0.00,3.01,0.00,0.00,3.01,1
SNP446,1.83,0.54,3.56,0.00,5.93,3
SNP447,0.69,0.40,15.20,0.00,16.29,3
SNP448,0.35,2.29,1.62,0.00,4.26,3
SNP449,0.13,2.00,2.65,0.00,4.78,3
SNP450,0.39,6.40,19.03,0.00,25.82,3
SNP451,0.00,0.25,0.00,0.00,0.25,1
SNP452,0.00,1.75,0.00,0.00,1.75,1
SNP453,0.00,1.37,0.00,0.00,1.37,1
SNP454,0.00,0.15,0.00,0.00,0.15,1
SNP458,1.51,0.37,2.96,0.00,4.84,3
SNP459,6.64,0.27,0.84,0.00,7.75,3
SNP460,6.21,0.31,0.90,0.10,7.52,4
SNP461,0.00,2.86,0.01,0.00,2.87,2
SNP462,0.13,8.04,0.67,0.00,8.84,3
SNP463,4.27,1.17,3.43,0.00,8.87,3
SNP467,0.00,3.71,0.00,0.00,3.71,1
SNP468,0.13,2.27,0.00,0.00,2.40,2
SNP469,0.00,0.11,0.00,0.00,0.11,1
SNP470,4.07,0.00,0.68,0.13,4.88,3
SNP471,3.27,0.01,2.01,0.05,5.34,4
SNP472,0.16,0.00,2.72,1.53,4.41,3
SNP473,18.53,0.20,0.48,0.05,19.26,4
SNP474,14.57,0.09,4.37,2.15,21.18,4
SNP475,7.05,0.00,7.32,1.97,16.34,3
SNP479,0.25,0.83,9.91,0.00,10.99,3
SNP480,0.21,0.67,0.05,0.00,0.93,3
SNP481,0.05,0.18,0.53,0.00,0.76,3
SNP501,0.00,3.94,0.00,0.00,3.94,1
SNP502,1.27,0.00,29.73,0.50,31.50,3
SNP503,3.45,0.03,8.93,1.83,14.24,4
SNP504,4.97,0.00,6.92,6.67,18.56,3
SNP505,0.00,14.20,0.00,0.00,14.20,1
SNP506,0.00,24.91,0.00,0.00,24.91,1
SNP507,2.67,11.73,0.00,0.00,14.40,2
SNP508,0.00,1.07,0.00,0.00,1.07,1
SNP509,0.00,38.67,0.00,0.00,38.67,1
SNP510,10.60,0.87,16.53,0.00,28.00,3
SNP511,9.67,5.53,36.07,0.09,51.36,4
SNP512,3.11,0.00,0.87,0.87,4.85,3
SNP513,0.93,0.38,6.67,0.00,7.98,3
SNP514,0.00,26.31,0.00,0.00,26.31,1
SNP515,13.23,0.03,12.67,0.43,26.36,4
SNP516,37.87,4.47,26.33,0.00,68.67,3
SNP517,1.11,0.35,7.39,0.00,8.85,3
SNP518,0.00,14.68,0.00,0.00,14.68,1
SNP519,0.00,22.68,0.00,0.00,22.68,1
SNP520,2.12,0.00,7.60,2.23,11.95,3
SNP521,5.16,0.00,2.01,0.25,7.42,3
SNP522,0.98,0.00,11.60,2.20,14.78,3
SNP523,0.00,22.60,0.00,0.00,22.60,1
SNP524,0.00,15.32,0.00,0.00,15.32,1
SNP525,0.35,0.00,11.67,0.00,12.02,2
SNP526,2.53,0.04,3.37,0.00,5.94,3
SNP527,0.42,0.17,12.47,0.00,13.06,3
SNP528,0.00,10.89,0.00,0.00,10.89,1
SNP529,0.69,0.00,17.20,0.23,18.12,3
SNP530,0.40,0.05,4.27,0.00,4.72,3
SNP531,2.72,0.00,3.73,4.56,11.01,3
SNP532,25.27,0.00,29.00,0.00,54.27,2
SNP533,1.58,0.00,6.67,0.26,8.51,3
SNP534,12.00,0.12,1.87,0.33,14.32,4
SNP535,4.01,0.01,7.67,0.00,11.69,3
SNP536,11.67,0.00,1.78,0.26,13.71,3
SNP537,12.89,0.00,14.53,2.24,29.66,3
SNP538,2.37,0.24,9.22,0.00,11.83,3
SNP539,2.38,0.00,1.72,0.09,4.19,3
SNP540,0.47,0.33,31.07,0.00,31.87,3
SNP541,4.49,0.06,6.22,0.66,11.43,4
SNP542,12.93,0.07,7.51,0.00,20.51,3
SNP543,0.75,0.23,15.87,0.00,16.85,3
SNP544,31.33,0.00,11.73,0.28,43.34,3
SNP545,0.00,28.40,0.00,0.00,28.40,1
SNP546,0.42,0.00,39.47,0.00,39.89,2
SNP547,0.81,0.19,5.33,0.00,6.33,3
SNP548,6.23,0.09,24.53,0.00,30.85,3
SNP549,0.77,0.00,16.67,1.77,19.21,3
SNP550,15.93,0.35,14.00,0.00,30.28,3
SNP551,5.50,0.05,29.67,10.79,46.01,4
SNP552,3.91,0.00,1.21,1.02,6.14,3
SNP553,0.20,0.00,4.18,0.00,4.38,2
SNP554,0.43,0.43,22.70,0.00,23.56,3
SNP555,2.53,0.00,22.20,0.00,24.73,2
SNP556,0.00,12.91,0.00,0.00,12.91,1
SNP557,66.07,0.00,20.59,0.00,86.66,2
SNP558,1.84,0.00,1.42,1.81,5.07,3
SNP559,4.35,0.00,5.74,1.49,11.58,3
SNP560,27.29,0.00,10.37,0.14,37.80,3
SNP561,10.24,0.00,42.53,0.02,52.79,3
SNP562,0.00,17.33,0.00,0.00,17.33,1
SNP563,0.31,0.00,22.88,0.00,23.19,2
SNP564,2.36,0.43,35.97,0.00,38.76,3
SNP565,4.00,0.01,35.07,0.00,39.08,3
SNP566,0.00,0.07,0.00,0.00,0.07,1
SNP567,2.43,0.00,3.41,6.75,12.59,3
SNP568,0.00,0.59,0.00,0.00,0.59,1
SNP569,0.85,0.00,19.04,0.46,20.35,3
SNP570,49.80,0.05,3.53,0.27,53.65,4
SNP571,0.00,25.93,0.00,0.00,25.93,1
SNP572,2.49,0.00,6.05,0.24,8.78,3
SNP573,0.77,0.37,26.13,0.00,27.27,3
SNP574,10.40,0.00,0.55,0.00,10.95,2
SNP575,0.65,0.00,1.49,0.85,2.99,3
SNP576,3.07,0.77,19.33,0.00,23.17,3
SNP577,0.00,4.00,0.00,0.00,4.00,1
SNP578,3.31,0.01,22.53,0.00,25.85,3
SNP579,0.41,0.00,19.13,0.00,19.54,2
SNP580,2.21,0.00,7.93,2.34,12.48,3
SNP581,2.47,0.04,19.80,0.17,22.48,4
SNP582,1.87,50.27,0.00,0.00,52.14,2
SNP603,0.00,0.91,1.03,0.00,1.94,2
SNP604,3.64,0.00,14.80,0.00,18.44,2
SNP605,1.79,0.00,4.49,0.00,6.28,2
SNP608,3.93,12.40,0.00,0.00,16.33,2
SNP609,12.07,0.00,22.47,0.00,34.54,2
SNP612,2.05,0.31,0.00,0.00,2.36,2
SNP614,0.00,1.59,0.47,0.00,2.06,2
SNP617,0.01,2.05,0.41,0.00,2.47,3
SNP619,14.05,0.47,12.00,0.00,26.52,3
SNP621,12.00,0.00,16.80,0.00,28.80,2
SNP622,1.35,0.03,0.00,0.00,1.38,2
SNP623,6.39,0.00,0.01,0.00,6.40,2
SNP627,11.33,1.03,0.27,0.00,12.63,3
SNP628,25.47,0.01,1.18,0.05,26.71,4
SNP629,0.00,4.61,0.23,0.00,4.84,2
SNP630,23.60,0.00,40.47,0.00,64.07,2
SNP632,0.06,0.49,0.37,0.00,0.92,3
SNP634,0.24,0.51,0.47,0.00,1.22,3
SNP638,2.60,0.00,0.00,0.00,2.60,1
SNP639,4.63,0.00,3.81,0.05,8.49,3
